Service_ID,Service_Type,Cloud_Provider,Edge_Node_ID,CPU_Utilization (%),Memory_Usage (MB),Storage_Usage (GB),Network_Bandwidth (Mbps),Service_Latency (ms),Response_Time (ms),Throughput (Requests/sec),Load_Balancing (%),QoS_Score,Workload_Variability,Optimal_Service_Placement
S0001,Storage,AWS,E1,75.31312695942552,6021,363,900.2677553354426,246.99560600342429,377.7666402393314,823.8369515078276,78.74195189299374,0.8919597924337699,1,0
S0002,Network,AWS,E3,42.240168596574144,1131,417,449.67409403136895,203.06479142990239,81.30347718983822,240.6004856392448,68.73246095074144,0.8618047188789757,1,0
S0003,AI Model,Google Cloud,E1,78.09901483858863,1308,879,536.3444135268381,187.65457305170222,141.9029723419196,349.2044588228215,71.50276725956371,0.6004143750874604,2,0
S0004,Database,Azure,E2,69.60279583028108,4154,856,542.4051053939627,248.31804965405004,491.3054698589413,341.07885844385993,99.22209767916841,0.7260218882899008,2,0
S0005,Network,AWS,E1,33.88966759,6780,529,285.3185199156929,208.19909855904618,197.62247687825044,194.6757347142725,64.88770768361222,0.84592344,2,0
S0006,Storage,Google Cloud,E3,27.379673728504798,1808,549,295.12529246480074,76.34226764752917,182.3428545593696,456.1321797130171,88.82434406578334,0.8581772414370434,1,1
S0007,Database,Azure,E4,69.52270397760036,5226,770,560.7647271845085,130.6692682431863,225.68836106162465,746.1964204087948,87.45789115882658,0.6121291915756158,1,0
S0008,Storage,AWS,E1,77.32794966663019,6442,404,38.863634161868106,290.4841333259461,43.96080878876447,369.4926896930623,66.43871437462954,0.5492173545224949,2,0
S0009,Database,Azure,E2,39.87848212,756,534,908.1764549128418,199.04078806541702,293.32700679941183,362.17412250585056,80.54300417584253,0.9584032890373881,1,0
S0010,AI Model,Google Cloud,E4,21.570872077318462,3407,260,164.72087245427846,171.49663720000194,302.8398955357612,320.6675899,93.56323426350787,0.7800859477836792,3,0
S0011,Compute,AWS,E4,26.162875060732052,7105,753,227.88779010267268,280.22220453082707,372.0759231212414,504.36948413549084,50.772371386653894,0.5769129622537055,1,0
S0012,Database,Azure,E4,92.58950261337729,1441,93,523.0934146831698,178.02097540604737,24.293247222464213,221.60486304424956,71.78671784216539,0.8967182909436808,1,0
S0013,AI Model,AWS,E4,77.69173608786002,1031,620,104.77176419695333,228.99670226931056,35.92464230262554,718.9667783849553,69.43161451994195,0.5847817592855545,2,0
S0014,Database,Azure,E2,66.84976766406979,3724,632,324.51775057169056,215.23635760103062,353.56066778366016,78.30097883099107,70.79948039876209,0.9087062276345552,2,0
S0015,Compute,Google Cloud,E4,48.64547297396719,2921,141,968.9878595186136,61.98220248048766,37.30671299348239,59.29041129047377,87.33354823933185,0.9666125306595641,1,1
S0016,Compute,Google Cloud,E2,35.426544664666636,519,314,269.71953711313625,144.03594099936575,456.7466457,121.36676464678376,54.69109361977216,0.9691808001480087,3,0
S0017,Network,AWS,E3,29.103981361955483,3037,944,319.9196436125154,144.39205563177765,354.02045777340334,558.8770586417065,75.62919515662553,0.9570782308267506,2,0
S0018,Network,Azure,E3,66.1259726,3935,269,838.1335057118532,116.5762319967867,258.62098489172695,861.7323290261332,78.20973958993727,0.7732105061800514,2,0
S0019,Storage,AWS,E3,78.09753355,2531,951,59.71228737,157.60157723491469,226.33692240777572,54.640242719239346,74.70788017759023,0.6781056586269346,2,0
S0020,Database,AWS,E3,68.29281902,5102,974,469.9670371208812,126.86668232950754,74.02958890249856,939.8282394,86.59366265313601,0.5036364038470047,1,0
S0021,Database,Azure,E3,59.77265999368687,6237,491,385.82059680715355,63.806919393999024,152.5897008866849,150.964586,69.18956279534237,0.5304561134357635,3,0
S0022,Network,Azure,E4,23.14634175737272,7488,450,323.42089230956464,126.64811374603092,435.78996146023917,849.8843517,97.24835318,0.7144195076486953,1,0
S0023,Database,Azure,E4,79.90356437,5670,776,100.46036381180511,174.8568295184514,10.366377101560222,676.3895179149017,78.56069548073988,0.5923569547849417,3,0
S0024,Compute,Google Cloud,E2,41.961652752572355,7248,948,321.67757105813234,256.8280919,301.12683182400013,535.1488352248233,91.27654116733747,0.6977400140158284,1,0
S0025,Network,AWS,E2,93.4977747,4794,838,52.621878688511885,218.9596898845938,362.45729842230566,503.1958139203869,63.76180529655612,0.587325033,2,0
S0026,AI Model,AWS,E2,65.14111922272416,4179,625,783.1542250079909,111.31624181596281,313.18602140422706,843.1544569461719,53.760101438140126,0.9243956263879203,2,0
S0027,Network,Google Cloud,E2,63.68169936554349,4183,907,404.24551601843154,30.686005645305915,50.02308478451345,768.0920605894255,85.38919891812412,0.6490974389377995,1,0
S0028,AI Model,Azure,E3,76.10548846,3313,853,449.4647939967125,64.63407277145487,116.68520041146209,509.2321247,74.15059277741894,0.799282175,2,0
S0029,Compute,Google Cloud,E3,80.88273410676032,6485,539,894.6586405856302,165.91965044597652,132.66673101687917,156.05413292625852,94.82521254794975,0.7514215309995433,2,0
S0030,Storage,Google Cloud,E3,69.23589555,6748,534,661.4744340226085,66.0818396,417.5450693394939,159.6328113486877,99.13400244,0.525941039,3,0
S0031,Compute,Google Cloud,E4,45.37006294958738,3627,519,943.7430747316721,73.32171230535019,248.54582385120605,552.9210902801567,70.77195081298305,0.7636129891252417,1,0
S0032,Database,AWS,E2,89.60627302445373,4744,623,244.7730213179341,255.43254149544148,468.0975928117092,507.5096832083945,70.39813011028632,0.6625288216959077,3,0
S0033,Storage,Google Cloud,E2,36.846170888288896,2980,987,116.53804291226025,122.19508448793562,322.1720855388106,696.5384992926794,66.22770548654631,0.5790632848165341,1,0
S0034,Storage,AWS,E3,47.91252679,6729,893,770.4468965970734,77.43743465362486,450.3471737608053,865.8995042435473,89.08435488831987,0.6692633173634179,2,0
S0035,Compute,AWS,E2,52.40576622,4131,731,505.4725427,244.63622317288318,233.68933911735115,647.4294872,87.94978812453638,0.5102558015116947,3,0
S0036,Storage,AWS,E2,52.955374227083915,2148,494,439.4328603578374,106.13749461760797,83.22376667396418,774.7055072,73.93224352752624,0.6817790776741488,3,0
S0037,AI Model,Azure,E4,65.97046868708941,4095,318,257.0080488859144,37.88886791244067,465.6684411,777.0069979111091,52.233060818944935,0.7657429636522524,3,0
S0038,Database,AWS,E4,38.05195338743788,4521,103,281.64075915056156,176.5614403092067,98.99939672062271,310.37903585894594,64.61515232774188,0.8436872088488988,1,0
S0039,Database,AWS,E1,29.112603222568854,3838,577,902.5671752,215.83522419454158,158.1739127489219,811.1058638164008,90.55436231001292,0.5557911565666207,2,0
S0040,Database,Azure,E1,34.81028674,2730,569,223.05243493586087,75.86473279647375,34.89326895,408.31985219503133,54.378778670808735,0.5738731622189805,2,0
S0041,Database,AWS,E1,86.51936751569521,6359,665,885.511599,135.9125450322123,239.46728981362872,908.1692061965699,90.28376895,0.7140616839091873,3,0
S0042,AI Model,Google Cloud,E3,68.43581094914046,2729,108,563.8113714700834,88.29853612,428.0328042360159,116.20616189361364,83.45918260995715,0.5978538758193939,2,0
S0043,Network,Google Cloud,E2,41.44300919293701,6395,874,830.2032525562886,28.881352154127995,467.4544234432778,105.30663647157266,86.62207295652246,0.5139248887913779,1,0
S0044,Database,AWS,E3,84.60274973,2881,286,699.7281603223811,220.01659232406064,71.36271256,666.0321684723631,83.98628980008792,0.509761285,1,0
S0045,Storage,Azure,E2,83.48857540177085,4150,435,331.10234961810517,93.93160254,197.2064024304179,410.6193886259157,80.45144724,0.915344803,1,1
S0046,Database,Google Cloud,E4,88.91949002296658,3015,655,241.55796215748143,181.81503289723597,23.832092228846122,767.3073940753736,88.44900976143148,0.5720519815164831,2,0
S0047,Storage,Azure,E1,38.91807651300212,1455,783,218.77736540398024,64.37281749966937,429.0310190360217,688.7104694939592,72.33849172,0.9873392054035581,1,0
S0048,Storage,Azure,E4,76.62814465597087,6234,765,858.6197404889928,267.61980342975244,185.79032339042416,554.6409944786164,73.64128124481512,0.8019369559130951,1,0
S0049,Database,Google Cloud,E1,54.5404623,3349,699,822.2225520564298,38.89737129176354,319.2473437,143.9296755295188,82.17881113699102,0.8674914858149477,1,0
S0050,AI Model,Azure,E3,83.14989146675461,3172,349,446.16779273218424,6.131957924801265,360.3002346578714,821.5706079,55.403874683319415,0.5552418139840325,1,0
S0051,Storage,Google Cloud,E1,74.63680078712099,7834,444,141.08056736149007,153.09241833305873,220.62388817414615,872.7220311465935,71.81222241821587,0.931052037,3,0
S0052,Storage,Azure,E3,78.23355848747934,3448,256,388.4297294576838,177.02270791859644,160.15674490961908,213.56025412501666,98.59754226299029,0.9195961714357692,2,0
S0053,Database,Google Cloud,E4,69.21213782608037,4956,385,623.1500195955423,175.7947694872623,481.4843259568129,857.9860693782133,51.87761600300228,0.8264963657708588,3,0
S0054,Storage,AWS,E3,33.30715771022801,8130,642,459.8591229351533,21.081018594158756,482.59923026168855,883.9549455,65.80023614,0.7511374322976937,1,0
S0055,Database,Google Cloud,E2,93.85023046433811,2188,563,997.6465940288716,152.2636893181929,245.01629740478447,673.3700844115526,81.67320596178863,0.502964108,1,0
S0056,Database,Google Cloud,E2,90.30410498728392,1708,227,199.22076756440788,68.89085976003605,486.6936377,413.12545401376684,55.29001797120699,0.7962203776992297,2,0
S0057,AI Model,Google Cloud,E3,32.361111179707784,3299,420,436.6740629016138,30.697240391123042,212.21234170578313,735.8839896040625,54.75201203258097,0.6784499435873774,2,0
S0058,AI Model,Google Cloud,E2,29.879658009092143,7944,907,311.4476074214613,148.77841029325265,59.22419934367453,868.7813915650178,54.74768237091655,0.5541446782414584,1,0
S0059,Storage,Azure,E1,74.44849324889717,1973,840,206.11456155308667,208.96773696637985,259.4874031256753,671.3736753079602,86.40916785942412,0.710438625,2,0
S0060,Storage,AWS,E4,36.013352473300394,1178,367,888.2481240514614,189.15101741426784,209.38023138140767,200.97852850196298,98.87114739,0.5536506051853363,3,0
S0061,Compute,Google Cloud,E1,57.938951971387176,7201,785,425.6502107094544,249.6686192920005,118.14254664481422,100.78577697457726,51.86764682177775,0.6030242801064449,1,0
S0062,Database,Azure,E3,74.96011586,2688,433,917.7726277189067,275.5800745883345,498.03688805934286,96.88208551255022,55.65679688370118,0.8984738777876125,3,0
